bid_count_1,bid_weight_count_1,bid_val_0,bid_weight_val_2,bid_val_2,ask_count_2,ask_weight_count_1,bid_count_2,ask_val_2,ask_val_1,ask_val_0,bid_weight_val_1,bid_val_1,bid_count_0,datetime,ask_weight_val_2,ask_count_0,bid_weight_count_2,ask_weight_val_1,ask_weight_count_2,ask_count_1
7.49,17.954,0.056643,0.056637068577514334,0.05664,0.352,2.217,5.35,0.056673,0.056669,0.056668,0.056640900467862305,0.056642,2.823,2018-08-08 18:50:39.122506,0.05676704401942926,1.282,21.596,0.056675526838069465,19.764000000000003,0.265
0.289,2.581,0.056645,0.05657375602853045,0.056635,0.352,7.311000000000001,0.9,0.056673,0.056669,0.056668,0.05664071290197598,0.056644,1.302,2018-08-08 18:50:42.665102,0.056753573452467204,0.753,105.291,0.056694689508959104,24.846,0.265
0.057,0.8470000000000001,0.056645,0.056568816028152655,0.056624,0.352,11.391,0.033,0.056673,0.056669,0.056668,0.05664155962219599,0.056626,0.715,2018-08-08 18:50:46.077519,0.056745797068381384,1.083,110.25600000000001,0.0566960332718813,28.926,0.265
0.639,2.127,0.056646,0.05657564229041299,0.056626,0.33,21.038,0.057,0.056688,0.056666,0.056664,0.05664458110014105,0.056645,1.379,2018-08-08 18:50:49.541122,0.056754367571689515,0.352,97.048,0.05668231523909116,56.388999999999996,10.665
0.057,0.7710000000000001,0.056645,0.05657210328999088,0.056624,0.33,20.611,0.033,0.056688,0.056666,0.056664,0.056641220492866406,0.056626,0.639,2018-08-08 18:50:53.009184,0.05674334668500884,9.925,110.669,0.056681724321964,55.973000000000006,0.665
5.35,6.2170000000000005,0.056648,0.05657888964865764,0.056645,1.438,10.774,0.639,0.056705,0.0567,0.056666,0.05664564146694547,0.056646,0.138,2018-08-08 18:50:56.465863,0.05677841736064847,0.665,93.157,0.05669892203452757,72.048,8.253
0.639,0.8860000000000001,0.056648,0.05657205757390061,0.056626,1.438,10.753,0.057,0.056705,0.0567,0.056666,0.05664290519187359,0.056645,0.138,2018-08-08 18:51:00.606619,0.05678048540523202,0.644,102.807,0.056699017018506465,56.116,8.253
0.639,0.8330000000000001,0.056648,0.05657201840317652,0.056626,1.438,10.674,0.057,0.056705,0.0567,0.056666,0.056642581032412966,0.056645,0.085,2018-08-08 18:51:04.681976,0.0567811114977604,0.565,102.754,0.05669926138279933,56.037000000000006,8.253
0.085,7.769000000000001,0.056649,0.05658020857574254,0.056645,1.438,10.468,0.639,0.056705,0.0567,0.056666,0.05664838512035011,0.056648,6.955,2018-08-08 18:51:07.576915,0.05678154213608926,0.359,94.709,0.05669994745892243,55.831,8.253
0.639,0.8330000000000001,0.056648,0.05657300775738159,0.056626,1.509,10.571,0.057,0.056665,0.056664,0.056649,0.056642581032412966,0.056645,0.085,2018-08-08 18:51:11.668843,0.056714395873119376,0.098,91.139,0.05669217756125248,21.469,0.352
0.639,0.8280000000000001,0.056648,0.05657467544069283,0.056626,8.253,11.298000000000002,0.057,0.0567,0.056666,0.056665,0.05664254830917875,0.056645,0.08,2018-08-08 18:51:15.696861,0.056749044752802784,0.918,87.87299999999999,0.056696975039830046,43.528000000000006,0.359
0.057,0.7710000000000001,0.056645,0.056574557796498705,0.056624,0.359,24.837,0.033,0.056666,0.056665,0.056648,0.056641220492866406,0.056626,0.639,2018-08-08 18:51:19.724231,0.05669505263747027,0.005,95.79299999999999,0.05667710874904377,35.735,15.868
0.057,0.6960000000000001,0.056645,0.0565745026013916,0.056624,0.359,24.777,0.033,0.056666,0.056665,0.056648,0.056640813218390804,0.056626,0.564,2018-08-08 18:51:23.794092,0.05669510318149965,0.005,95.71799999999999,0.05667713807159865,35.675,15.808
13.696,14.48,0.056628,0.05658168906272358,0.056626,0.359,14.4,0.057,0.056666,0.056665,0.056645,0.05662702534530385,0.056627,0.675,2018-08-08 18:51:27.223824,0.05670710989010989,0.436,104.825,0.05668528541666666,25.298000000000002,5.0
5.35,6.96,0.05663,0.056578226648168126,0.056626,8.253,10.758000000000001,0.057,0.0567,0.056698,0.056666,0.05662760272988506,0.056627,1.501,2018-08-08 18:51:30.962342,0.05676786610610325,0.385,97.305,0.05669966220487078,56.134,0.352
1.391,17.785999999999998,0.056637,0.05662236016172059,0.056631,8.253,10.698,13.482,0.0567,0.056698,0.056666,0.0566321579332059,0.056634,2.823,2018-08-08 18:51:35.254030,0.05677039676183845,0.325,23.991999999999994,0.05669985100018694,45.952,0.352
1.438,11.404,0.056646,0.056640692111808603,0.056644,8.253,20.927999999999997,0.11,0.0567,0.056696,0.056695,0.05664216073307612,0.056645,2.822,2018-08-08 18:51:38.701293,0.05675694457299491,3.738,16.885999999999996,0.05669822219036698,56.182,7.169
6.206,16.672,0.05665,0.05663995450339298,0.056647,7.169,20.755,0.5,0.056696,0.056694,0.056693,0.056645323476487534,0.056649,2.932,2018-08-08 18:51:42.219338,0.056756715795675705,4.147,19.451999999999998,0.05669711534569984,56.009,0.856
6.955,8.943000000000001,0.056652,0.056632663848897084,0.056641,0.856,29.810000000000002,0.079,0.05669,0.056688,0.056687,0.056650856088560866,0.056651,1.819,2018-08-08 18:51:46.241801,0.05672016671945702,3.795,15.142000000000001,0.056692329184837305,44.2,8.881
0.057,0.211,0.056641,0.05657107320897438,0.056624,4.087,14.027,0.033,0.056685,0.056653,0.05665,0.05662969194312796,0.056626,0.079,2018-08-08 18:51:49.742890,0.05673482153681584,0.028,105.23299999999999,0.05668627775005347,44.872,1.031
0.033,2.7800000000000002,0.056626,0.056571015155837,0.056619,1.031,6.0889999999999995,0.019,0.056653,0.05665,0.056641,0.056607756115107905,0.056624,0.057,2018-08-08 18:51:53.058048,0.05669693344774981,0.087,105.17399999999999,0.056678932665462305,15.731999999999998,0.028
0.057,13.133,0.056627,0.05657718027167704,0.056624,8.253,12.407,0.033,0.0567,0.056652,0.056628,0.05662695903449326,0.056626,13.001,2018-08-08 18:51:56.459994,0.05677316362170384,0.001,118.155,0.05668590424760216,54.571,3.735
0.07,5.664000000000001,0.056629,0.05657685369962421,0.056627,8.253,12.751999999999999,4.648,0.0567,0.05665,0.056649,0.056627287076271175,0.056628,0.856,2018-08-08 18:52:00.493661,0.05676674034377755,3.735,92.604,0.056684055912797994,49.916,0.346
7.651,13.161,0.05663,0.05658090928975939,0.056628,8.253,9.953,0.07,0.0567,0.05665,0.056649,0.056629375655345336,0.056629,5.35,2018-08-08 18:52:03.945305,0.05674827201663522,0.936,100.121,0.056693914397669055,25.968999999999998,0.346
0.07,4.842000000000001,0.056631,0.05657690900006312,0.056626,8.253,9.953,0.057,0.0567,0.05665,0.056649,0.05663080297397769,0.056628,4.663,2018-08-08 18:52:07.209159,0.05674827201663522,0.936,95.066,0.056693914397669055,25.968999999999998,0.346
6.85,10.609,0.056633,0.0566162040853001,0.056628,1.438,11.216,0.07,0.056699,0.05665,0.056649,0.05663225572627015,0.056632,3.599,2018-08-08 18:52:10.650283,0.05674590112186539,0.849,16.694,0.05669473368402283,27.275999999999996,0.346
5.646,5.964000000000001,0.056634,0.0566098421445763,0.056628,1.438,11.145999999999999,0.07,0.056699,0.05665,0.056649,0.05663190442655934,0.056632,0.158,2018-08-08 18:52:14.113849,0.05674615044475484,0.779,12.049000000000001,0.056695020904360315,27.205999999999996,0.346
1.177,97.241,0.056593,0.05656511224474752,0.05659,1.438,11.145999999999999,1.737,0.056699,0.05665,0.056649,0.056575388817474107,0.056592,6.886,2018-08-08 18:52:18.211591,0.05674615044475484,0.779,135.64999999999998,0.056695020904360315,27.205999999999996,0.346
4.832,16.178,0.056595,0.05657289799331104,0.056593,1.438,11.07,4.062,0.056699,0.05665,0.056649,0.05659215453084435,0.056594,2.824,2018-08-08 18:52:21.648445,0.05674642259491338,0.703,121.39399999999999,0.05669533685636856,27.13,0.346
1.69,15.508999999999999,0.056599,0.05657307410229862,0.056596,1.438,14.953999999999999,6.206,0.056699,0.05665,0.056649,0.05659435605132504,0.056598,2.824,2018-08-08 18:52:25.134054,0.0567342219965177,4.587,120.725,0.05668330179216263,31.014,0.346
2.824,11.285,0.056602,0.05657330616052678,0.0566,8.253,14.395,0.749,0.0567,0.056699,0.056649,0.05659996083296411,0.056601,5.35,2018-08-08 18:52:28.567508,0.056751993278473814,4.286,119.51899999999999,0.05668502549496353,40.467,1.438
1.928,12.357,0.056607,0.05657383313016727,0.056604,1.438,14.372,0.749,0.056699,0.056647,0.056646,0.0566027911305333,0.056606,2.824,2018-08-08 18:52:32.583865,0.05673542314011567,3.998,120.591,0.05668378311995547,30.432,0.353
