low,close,datetime,volume,high,open
0.05632,0.05632,2018-08-08 19:35:00.000000,0.151,0.05632,0.05632
0.05638198,0.05638198,2018-08-08 19:36:00.000000,0.029,0.05638198,0.05638198
0.05632,0.05632,2018-08-08 19:37:00.000000,0.86146598,0.05632,0.05632
0.05625,0.05625,2018-08-08 19:38:00.000000,2.53313132,0.05632,0.05632
0.05625,0.05632,2018-08-08 19:39:00.000000,1.71230241,0.05632,0.05625
0.05625,0.05632,2018-08-08 19:40:00.000000,0.60972356,0.05632,0.05625
0.05632,0.05632,2018-08-08 19:41:00.000000,0.21069734,0.05632,0.05632
0.05625,0.05632,2018-08-08 19:42:00.000000,0.50881175,0.05632,0.05632
0.05628567,0.05628567,2018-08-08 19:43:00.000000,0.30732585,0.05632,0.05628567
0.05631999,0.05631999,2018-08-08 19:44:00.000000,0.028,0.05631999,0.05631999
0.05625,0.05625,2018-08-08 19:45:00.000000,0.026,0.05628567,0.05628567
0.05628567,0.05628567,2018-08-08 19:46:00.000000,0.38630798,0.05628567,0.05628567
0.05625,0.05625,2018-08-08 19:47:00.000000,2.04825924,0.05628567,0.05628567
0.05625,0.05625,2018-08-08 19:48:00.000000,1.71913857,0.05628565,0.05625
0.05625,0.05628564,2018-08-08 19:49:00.000000,0.087,0.05628564,0.05625
0.05625,0.05625,2018-08-08 19:50:00.000000,1.578478,0.05628564,0.05628564
0.05625,0.05632,2018-08-08 19:51:00.000000,4.26656241,0.05632,0.05632
0.05625,0.05625,2018-08-08 19:52:00.000000,33.49562682,0.05632,0.05632
0.05625,0.05625,2018-08-08 19:53:00.000000,0.21252942,0.05625,0.05625
0.05625,0.056319,2018-08-08 19:54:00.000000,2.87513349,0.056319,0.056319
0.05632,0.05632,2018-08-08 19:55:00.000000,0.11996439,0.05632,0.05632
0.0562468,0.0562468,2018-08-08 19:56:00.000000,2.05813396,0.05632,0.05625
0.05623646,0.05626261,2018-08-08 19:57:00.000000,0.219,0.05626261,0.0562468
0.05614071,0.0562606,2018-08-08 19:58:00.000000,0.46265591,0.056264,0.056264
0.05607,0.05607,2018-08-08 19:59:00.000000,10.499992,0.05626161,0.05626161
0.05607,0.05607,2018-08-08 20:00:00.000000,0.5605557,0.05607,0.05607
0.05607,0.05607,2018-08-08 20:01:00.000000,2.86345856,0.05608,0.05608
0.05603276,0.05626059,2018-08-08 20:02:00.000000,3.24131225,0.05626161,0.05626161
0.05625656,0.05625656,2018-08-08 20:03:00.000000,0.3784,0.05625656,0.05625656
0.05603186,0.05624949,2018-08-08 20:04:00.000000,1.75275523,0.05625151,0.0562515
0.05603186,0.05624499,2018-08-08 20:05:00.000000,0.91796336,0.05625399,0.05603186
0.05603186,0.05603614,2018-08-08 20:06:00.000000,0.89979734,0.0562626,0.0562626
0.056042,0.056042,2018-08-08 20:07:00.000000,1.15,0.056042,0.056042
0.05610502,0.05629,2018-08-08 20:08:00.000000,0.70950653,0.05629,0.05626261
0.05614601,0.05632,2018-08-08 20:09:00.000000,13.45206136,0.05632,0.05629
0.05616501,0.0562,2018-08-08 20:10:00.000000,2.6210728,0.05632,0.05616501
0.056156,0.05615802,2018-08-08 20:11:00.000000,0.38449769,0.056201,0.056201
0.05616104,0.05648678,2018-08-08 20:12:00.000000,2.94215706,0.05648678,0.05616104
0.05611503,0.05611503,2018-08-08 20:13:00.000000,0.15633685,0.05648375,0.05640264
0.05613001,0.05613001,2018-08-08 20:14:00.000000,0.04253885,0.05613001,0.05613001
0.05631,0.05631,2018-08-08 20:15:00.000000,0.054,0.05631,0.05631
0.05617402,0.05617402,2018-08-08 20:16:00.000000,0.59631168,0.05631,0.05631
0.05622001,0.05622001,2018-08-08 20:17:00.000000,0.44757796,0.05631,0.05631
0.05617002,0.05648678,2018-08-08 20:18:00.000000,19.76558821,0.05648678,0.05627
0.05648678,0.05648678,2018-08-08 20:19:00.000000,3.93827444,0.05649,0.05648678
0.05648678,0.05648678,2018-08-08 20:20:00.000000,1.4718264,0.05649,0.05648678
0.05620001,0.05620001,2018-08-08 20:21:00.000000,3.34702825,0.05648936,0.05648936
0.05624301,0.05628,2018-08-08 20:22:00.000000,3.7355,0.05628,0.05624303
0.05628503,0.05628503,2018-08-08 20:23:00.000000,0.32191751,0.0563738,0.05637372
0.05648646,0.05649,2018-08-08 20:24:00.000000,8.50694013,0.05649,0.05648678
0.05649,0.05649,2018-08-08 20:25:00.000000,1.85930193,0.05649,0.05649
0.056336,0.056336,2018-08-08 20:26:00.000000,2.08620045,0.05649,0.05649
0.05648989,0.0564899,2018-08-08 20:27:00.000000,0.85773238,0.05649,0.05649
0.0564899,0.0565,2018-08-08 20:28:00.000000,46.29087134,0.0565,0.0564899
0.05649999,0.0565,2018-08-08 20:29:00.000000,39.9386472,0.0565,0.0565
0.05648662,0.05648662,2018-08-08 20:30:00.000000,19.15058675,0.0565,0.05649999
0.05650673,0.05659,2018-08-08 20:32:00.000000,0.85612977,0.05659,0.05650673
0.05657663,0.05659,2018-08-08 20:33:00.000000,9.48522966,0.05659,0.05659
0.05659,0.05670319,2018-08-08 20:34:00.000000,1.18035356,0.05672809,0.05659
0.05662705,0.05662705,2018-08-08 20:35:00.000000,1.86338995,0.05672809,0.05670319
0.05661983,0.05661983,2018-08-08 20:36:00.000000,0.15046356,0.05672809,0.05672809
0.0566941,0.05678202,2018-08-08 20:37:00.000000,6.72676463,0.0568,0.0566941
0.05678202,0.05678202,2018-08-08 20:38:00.000000,0.9383685,0.0568,0.05678202
0.05661983,0.05661983,2018-08-08 20:39:00.000000,0.60541695,0.0567949,0.05678202
0.05666841,0.05666841,2018-08-08 20:40:00.000000,0.051,0.05666841,0.05666841
0.05652377,0.05652377,2018-08-08 20:41:00.000000,5.37822206,0.05666841,0.05666841
0.05652377,0.05661,2018-08-08 20:42:00.000000,0.21377794,0.05661,0.05652377
0.0567233,0.0567233,2018-08-08 20:43:00.000000,0.042,0.05672331,0.05672331
0.05661,0.05661,2018-08-08 20:44:00.000000,0.41075206,0.05667128,0.05667128
